,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1606,Kolkata Knight Riders,2016/05/14,RV Uthappa,G Gambhir,MK Pandey,YK Pathan,Shakib Al Hasan,SA Yadav,AD Russell,PP Chawla,SP Narine,AS Rajpoot,M Morkel
1607,Rising Pune Supergiants,2016/05/14,AM Rahane,UT Khawaja,GJ Bailey,SS Tiwary,IK Pathan,MS Dhoni,NLTC Perera,R Ashwin,A Zampa,M Ashwin,AB Dinda
1608,Royal Challengers Bangalore,2009/05/07,JH Kallis,W Jaffer,RV Uthappa,R Dravid,V Kohli,MV Boucher,RE van der Merwe,D du Preez,P Kumar,R Vinay Kumar,A Kumble
1609,Rajasthan Royals,2009/05/07,GC Smith,NV Ojha,LA Carseldine,YK Pathan,RA Jadeja,AS Raut,Niraj Patel,SK Warne,M Morkel,MM Patel,A Singh
1610,Rajasthan Royals,2019/03/29,AM Rahane,JC Buttler,SV Samson,BA Stokes,SPD Smith,RA Tripathi,K Gowtham,JC Archer,JD Unadkat,S Gopal,DS Kulkarni
1611,Sunrisers Hyderabad,2019/03/29,DA Warner,JM Bairstow,KS Williamson,V Shankar,MK Pandey,YK Pathan,Rashid Khan,B Kumar,Sandeep Sharma,S Kaul,S Nadeem
1612,Rajasthan Royals,2013/05/12,R Dravid,AM Rahane,JP Faulkner,SV Samson,SR Watson,STR Binny,BJ Hodge,DH Yagnik,SK Trivedi,KK Cooper,VS Malik
1613,Chennai Super Kings,2013/05/12,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,S Badrinath,CH Morris,R Ashwin,JO Holder,MM Sharma
1614,Deccan Chargers,2010/04/12,HH Gibbs,AC Gilchrist,TL Suman,RG Sharma,MD Mishra,A Symonds,RJ Harris,B Sumanth,RP Singh,PP Ojha,Harmeet Singh
1615,Royal Challengers Bangalore,2010/04/12,MK Pandey,JH Kallis,R Dravid,RV Uthappa,LRPL Taylor,V Kohli,CL White,R Vinay Kumar,DW Steyn,A Kumble,KP Appanna
1616,Mumbai Indians,2018/04/14,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KA Pollard,KH Pandya,HH Pandya,A Dananjaya,M Markande,JJ Bumrah,Mustafizur Rahman
1617,Delhi Daredevils,2018/04/14,JJ Roy,G Gambhir,RR Pant,GJ Maxwell,SS Iyer,V Shankar,DT Christian,R Tewatia,S Nadeem,Mohammed Shami,TA Boult
1618,Kings XI Punjab,2009/04/29,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,RR Powar,VS Malik,YA Abdulla
1619,Mumbai Indians,2009/04/29,ST Jayasuriya,SR Tendulkar,S Dhawan,JP Duminy,DJ Bravo,AM Nayar,Harbhajan Singh,SS Tiwary,Z Khan,PR Shah,SL Malinga
1620,Rajasthan Royals,2022/04/30,JC Buttler,D Padikkal,SV Samson,DJ Mitchell,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
1621,Mumbai Indians,2022/04/30,RG Sharma,Ishan Kishan,SA Yadav,Tilak Varma,KA Pollard,TH David,DR Sams,HR Shokeen,K Kartikeya,JJ Bumrah,RP Meredith
1622,Mumbai Indians,2013/04/27,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha
1623,Royal Challengers Bangalore,2013/04/27,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,KB Arun Karthik,J Syed Mohammad,R Rampaul,R Vinay Kumar,RP Singh,JD Unadkat
1624,Rajasthan Royals,2022/05/11,YBK Jaiswal,JC Buttler,R Ashwin,D Padikkal,SV Samson,R Parag,HE van der Dussen,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
1625,Delhi Capitals,2022/05/11,KS Bharat,DA Warner,MR Marsh,RR Pant,R Powell,Lalit Yadav,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,C Sakariya
1626,Chennai Super Kings,2010/04/25,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,DE Bollinger,M Muralitharan
1627,Mumbai Indians,2010/04/25,S Dhawan,SR Tendulkar,AM Nayar,Harbhajan Singh,AT Rayudu,SS Tiwary,JP Duminy,KA Pollard,Z Khan,SL Malinga,CRD Fernando
1628,Kings XI Punjab,2011/05/17,PC Valthaty,AC Gilchrist,SE Marsh,DJ Hussey,KD Karthik,Mandeep Singh,AM Nayar,SJ Srivastava,PP Chawla,P Kumar,RJ Harris
1629,Royal Challengers Bangalore,2011/05/17,CH Gayle,SS Tiwary,V Kohli,AB de Villiers,AUK Pathan,M Kaif,KB Arun Karthik,JJ van der Wath,A Mithun,CK Langeveldt,S Aravind
1630,Royal Challengers Bangalore,2021/04/27,V Kohli,D Padikkal,RM Patidar,GJ Maxwell,AB de Villiers,Washington Sundar,DR Sams,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
1631,Delhi Capitals,2021/04/27,PP Shaw,S Dhawan,SPD Smith,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,K Rabada,Avesh Khan,A Mishra,I Sharma
1632,Kolkata Knight Riders,2015/05/04,RV Uthappa,G Gambhir,MK Pandey,AD Russell,RN ten Doeschate,YK Pathan,J Botha,SA Yadav,PP Chawla,GB Hogg,UT Yadav
1633,Sunrisers Hyderabad,2015/05/04,DA Warner,S Dhawan,NV Ojha,MC Henriques,EJG Morgan,GH Vihari,Bipul Sharma,KV Sharma,P Kumar,B Kumar,DW Steyn
1634,Chennai Super Kings,2022/04/09,RV Uthappa,RD Gaikwad,MM Ali,AT Rayudu,S Dube,RA Jadeja,MS Dhoni,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
1635,Sunrisers Hyderabad,2022/04/09,Abhishek Sharma,KS Williamson,RA Tripathi,N Pooran,AK Markram,Shashank Singh,Washington Sundar,B Kumar,M Jansen,Umran Malik,T Natarajan
1636,Delhi Capitals,2021/09/25,PP Shaw,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,Lalit Yadav,AR Patel,R Ashwin,K Rabada,A Nortje,Avesh Khan
1637,Rajasthan Royals,2021/09/25,LS Livingstone,YBK Jaiswal,SV Samson,DA Miller,MK Lomror,R Parag,R Tewatia,T Shamsi,Kartik Tyagi,C Sakariya,Mustafizur Rahman
1638,Pune Warriors,2013/04/07,RV Uthappa,MK Pandey,TL Suman,MN Samuels,LRPL Taylor,AD Mathews,AM Nayar,MR Marsh,B Kumar,R Sharma,AB Dinda
1639,Kings XI Punjab,2013/04/07,AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,R Sathish,PP Chawla,P Awana,P Kumar,RJ Harris
1640,Royal Challengers Bangalore,2018/04/29,Q de Kock,BB McCullum,V Kohli,M Vohra,Mandeep Singh,C de Grandhomme,M Ashwin,TG Southee,UT Yadav,YS Chahal,Mohammed Siraj
1641,Kolkata Knight Riders,2018/04/29,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
1642,Delhi Daredevils,2014/05/10,Q de Kock,KP Pietersen,MA Agarwal,KD Karthik,LR Shukla,JP Duminy,KM Jadhav,R Shukla,Mohammed Shami,Imran Tahir,S Kaul
1643,Sunrisers Hyderabad,2014/05/10,AJ Finch,S Dhawan,DA Warner,NV Ojha,KL Rahul,MC Henriques,IK Pathan,KV Sharma,DW Steyn,A Mishra,B Kumar
1644,Delhi Daredevils,2013/04/06,DA Warner,UBT Chand,DPMD Jayawardene,MC Juneja,AD Russell,J Botha,IK Pathan,NV Ojha,A Nehra,S Nadeem,UT Yadav
1645,Rajasthan Royals,2013/04/06,MDKJ Perera,AM Rahane,R Dravid,STR Binny,BJ Hodge,KK Cooper,AL Menaria,S Sreesanth,R Shukla,SK Trivedi,S Badree
1646,Kolkata Knight Riders,2008/05/25,Salman Butt,SC Ganguly,DB Das,DJ Hussey,LR Shukla,WP Saha,A Chopra,Umar Gul,I Sharma,BAW Mendis,AB Dinda
1647,Kings XI Punjab,2008/05/25,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,TM Srivastava,RR Powar,VRV Singh,S Sreesanth
1648,Delhi Daredevils,2008/05/17,G Gambhir,V Sehwag,S Dhawan,TM Dilshan,MF Maharoof,Shoaib Malik,PJ Sangwan,KD Karthik,A Mishra,R Bhatia,GD McGrath
1649,Kings XI Punjab,2008/05/17,SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,DPMD Jayawardene,IK Pathan,RR Powar,PP Chawla,U Kaul,S Sreesanth,VRV Singh
1650,Mumbai Indians,2010/04/13,C Madan,SR Tendulkar,SS Tiwary,AT Rayudu,JP Duminy,KA Pollard,DJ Bravo,Harbhajan Singh,AG Murtaza,Z Khan,CRD Fernando
1651,Delhi Daredevils,2010/04/13,DA Warner,V Sehwag,G Gambhir,KD Karthik,AB de Villiers,PD Collingwood,AB McDonald,A Mishra,PJ Sangwan,A Nehra,S Ladda
1652,Royal Challengers Bangalore,2015/05/20,CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik,SN Khan,D Wiese,MA Starc,HV Patel,YS Chahal,S Aravind
1653,Rajasthan Royals,2015/05/20,AM Rahane,SR Watson,SV Samson,SPD Smith,KK Nair,DJ Hooda,JP Faulkner,STR Binny,CH Morris,Ankit Sharma,DS Kulkarni
1654,Royal Challengers Bangalore,2016/05/18,CH Gayle,V Kohli,AB de Villiers,KL Rahul,SR Watson,Sachin Baby,STR Binny,CJ Jordan,S Aravind,VR Aaron,YS Chahal
1655,Kings XI Punjab,2016/05/18,M Vijay,HM Amla,WP Saha,DA Miller,Gurkeerat Singh,AR Patel,F Behardien,KJ Abbott,MM Sharma,KC Cariappa,Sandeep Sharma
1656,Chennai Super Kings,2009/04/23,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,MS Gony,Joginder Sharma,L Balaji,M Muralitharan
1657,Delhi Daredevils,2009/04/23,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,MK Tiwary,DL Vettori,DP Nannes,AM Salvi,PJ Sangwan,A Nehra
1658,Sunrisers Hyderabad,2020/09/29,DA Warner,JM Bairstow,MK Pandey,KS Williamson,Abdul Samad,Abhishek Sharma,PK Garg,Rashid Khan,B Kumar,T Natarajan,KK Ahmed
1659,Delhi Capitals,2020/09/29,PP Shaw,S Dhawan,SS Iyer,RR Pant,SO Hetmyer,MP Stoinis,AR Patel,K Rabada,A Nortje,A Mishra,I Sharma
1660,Royal Challengers Bangalore,2013/04/23,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,R Rampaul,KB Arun Karthik,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat
1661,Pune Warriors,2013/04/23,RV Uthappa,AJ Finch,Yuvraj Singh,LJ Wright,SPD Smith,MR Marsh,M Manhas,B Kumar,AG Murtaza,IC Pandey,AB Dinda
1662,Kolkata Knight Riders,2021/09/26,Shubman Gill,VR Iyer,RA Tripathi,EJG Morgan,N Rana,AD Russell,KD Karthik,SP Narine,LH Ferguson,M Prasidh Krishna,CV Varun
1663,Chennai Super Kings,2021/09/26,RD Gaikwad,F du Plessis,MM Ali,AT Rayudu,SK Raina,MS Dhoni,RA Jadeja,SM Curran,SN Thakur,DL Chahar,JR Hazlewood
1664,Royal Challengers Bangalore,2019/04/19,PA Patel,V Kohli,AD Nath,MM Ali,MP Stoinis,H Klaasen,P Negi,DW Steyn,Mohammed Siraj,YS Chahal,NA Saini
1665,Kolkata Knight Riders,2019/04/19,CA Lynn,SP Narine,Shubman Gill,RV Uthappa,N Rana,AD Russell,KD Karthik,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
1666,Kings XI Punjab,2013/04/10,Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh,Azhar Mahmood,R Sathish,PP Chawla,RJ Harris,P Kumar,P Awana
1667,Chennai Super Kings,2013/04/10,M Vijay,MEK Hussey,SK Raina,S Badrinath,MS Dhoni,RA Jadeja,DJ Bravo,R Ashwin,DP Nannes,CH Morris,AS Rajpoot
1668,Rising Pune Supergiant,2017/05/14,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
1669,Kings XI Punjab,2017/05/14,MJ Guptill,WP Saha,SE Marsh,EJG Morgan,R Tewatia,GJ Maxwell,AR Patel,Swapnil Singh,MM Sharma,I Sharma,Sandeep Sharma
1670,Mumbai Indians,2014/05/03,BR Dunk,CM Gautam,AT Rayudu,RG Sharma,CJ Anderson,KA Pollard,AP Tare,Harbhajan Singh,JJ Bumrah,Z Khan,SL Malinga
1671,Kings XI Punjab,2014/05/03,CA Pujara,V Sehwag,WP Saha,GJ Maxwell,GJ Bailey,DA Miller,MG Johnson,R Dhawan,AR Patel,L Balaji,Sandeep Sharma
1672,Deccan Chargers,2011/05/05,S Dhawan,DB Ravi Teja,KC Sangakkara,JP Duminy,DT Christian,B Chipli,I Malhotra,S Sohal,A Mishra,DW Steyn,I Sharma
1673,Delhi Daredevils,2011/05/05,AJ Finch,V Sehwag,NV Ojha,Y Venugopal Rao,TR Birt,IK Pathan,JR Hopes,Y Nagar,M Morkel,AB Agarkar,AM Salvi
1674,Sunrisers Hyderabad,2021/09/22,DA Warner,WP Saha,KS Williamson,MK Pandey,KM Jadhav,Abdul Samad,JO Holder,Rashid Khan,B Kumar,Sandeep Sharma,KK Ahmed
1675,Delhi Capitals,2021/09/22,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,R Ashwin,K Rabada,A Nortje,Avesh Khan
1676,Kings XI Punjab,2014/04/22,CA Pujara,V Sehwag,GJ Maxwell,DA Miller,GJ Bailey,MG Johnson,AR Patel,WP Saha,L Balaji,R Dhawan,Sandeep Sharma
1677,Sunrisers Hyderabad,2014/04/22,AJ Finch,S Dhawan,DA Warner,KL Rahul,Y Venugopal Rao,IK Pathan,DJG Sammy,KV Sharma,DW Steyn,A Mishra,B Kumar
1678,Kolkata Knight Riders,2021/04/11,N Rana,Shubman Gill,RA Tripathi,AD Russell,EJG Morgan,KD Karthik,Shakib Al Hasan,PJ Cummins,Harbhajan Singh,CV Varun,M Prasidh Krishna
1679,Sunrisers Hyderabad,2021/04/11,WP Saha,DA Warner,MK Pandey,JM Bairstow,Mohammad Nabi,V Shankar,Abdul Samad,Rashid Khan,B Kumar,Sandeep Sharma,T Natarajan
1680,Royal Challengers Bangalore,2019/04/07,PA Patel,V Kohli,AB de Villiers,MP Stoinis,MM Ali,AD Nath,P Negi,TG Southee,Mohammed Siraj,YS Chahal,NA Saini
1681,Delhi Capitals,2019/04/07,PP Shaw,S Dhawan,SS Iyer,CA Ingram,RR Pant,CH Morris,AR Patel,R Tewatia,K Rabada,I Sharma,S Lamichhane
1682,Deccan Chargers,2010/04/05,VVS Laxman,AC Gilchrist,RG Sharma,A Symonds,Anirudh Singh,DR Smith,AA Bilakhia,RJ Harris,RP Singh,Harmeet Singh,PP Ojha
1683,Rajasthan Royals,2010/04/05,MJ Lumb,NV Ojha,FY Fazal,SR Watson,YK Pathan,AA Jhunjhunwala,AS Raut,SK Warne,M Morkel,AP Dole,SK Trivedi
1684,Delhi Daredevils,2012/05/07,DA Warner,V Sehwag,DPMD Jayawardene,LRPL Taylor,IK Pathan,Y Nagar,NV Ojha,M Morkel,S Nadeem,VR Aaron,UT Yadav
1685,Kolkata Knight Riders,2012/05/07,BB McCullum,G Gambhir,JH Kallis,MK Tiwary,YK Pathan,DB Das,LR Shukla,R Bhatia,B Lee,PJ Sangwan,SP Narine
1686,Delhi Daredevils,2018/05/20,PP Shaw,GJ Maxwell,SS Iyer,RR Pant,V Shankar,Abhishek Sharma,HV Patel,A Mishra,S Lamichhane,TA Boult,LE Plunkett
1687,Mumbai Indians,2018/05/20,SA Yadav,E Lewis,Ishan Kishan,KA Pollard,RG Sharma,KH Pandya,HH Pandya,BCJ Cutting,M Markande,JJ Bumrah,Mustafizur Rahman
1688,Lucknow Super Giants,2022/03/28,KL Rahul,Q de Kock,E Lewis,MK Pandey,DJ Hooda,A Badoni,KH Pandya,PVD Chameera,Mohsin Khan (2),Ravi Bishnoi,Avesh Khan
1689,Gujarat Titans,2022/03/28,Shubman Gill,MS Wade,V Shankar,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,LH Ferguson,Mohammed Shami,VR Aaron
1690,Kolkata Knight Riders,2021/10/01,VR Iyer,Shubman Gill,RA Tripathi,N Rana,EJG Morgan,KD Karthik,TL Seifert,SP Narine,TG Southee,CV Varun,Shivam Mavi
1691,Punjab Kings,2021/10/01,KL Rahul,MA Agarwal,N Pooran,AK Markram,DJ Hooda,M Shahrukh Khan,FA Allen,NT Ellis,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1692,Sunrisers Hyderabad,2015/04/22,S Dhawan,DA Warner,RS Bopara,NV Ojha,MC Henriques,KL Rahul,KV Sharma,Bipul Sharma,P Kumar,B Kumar,DW Steyn
1693,Kolkata Knight Riders,2015/04/22,RV Uthappa,G Gambhir,MK Pandey,AD Russell,YK Pathan,SA Yadav,J Botha,PP Chawla,SP Narine,M Morkel,UT Yadav
1694,Delhi Daredevils,2010/04/18,DA Warner,V Sehwag,TM Dilshan,G Gambhir,M Manhas,PD Collingwood,KD Karthik,A Mishra,A Nehra,DP Nannes,UT Yadav
1695,Deccan Chargers,2010/04/18,AC Gilchrist,MD Mishra,TL Suman,RG Sharma,A Symonds,MR Marsh,B Sumanth,WPUJC Vaas,R Sharma,PP Ojha,Harmeet Singh
1696,Kings XI Punjab,2010/03/24,RS Bopara,KC Sangakkara,MS Bisla,Yuvraj Singh,DPMD Jayawardene,IK Pathan,M Kaif,PP Chawla,J Theron,S Sreesanth,SJ Srivastava
1697,Rajasthan Royals,2010/03/24,MJ Lumb,NV Ojha,FY Fazal,YK Pathan,AC Voges,P Dogra,AA Jhunjhunwala,SK Warne,MM Patel,SK Trivedi,SW Tait
1698,Chennai Super Kings,2008/06/01,PA Patel,S Vidyut,SK Raina,JA Morkel,MS Dhoni,CK Kapugedera,S Badrinath,MS Gony,L Balaji,M Muralitharan,M Ntini
1699,Rajasthan Royals,2008/06/01,Niraj Patel,SA Asnodkar,Kamran Akmal,SR Watson,YK Pathan,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
1700,Mumbai Indians,2013/04/09,RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,R Dhawan,MG Johnson,PP Ojha,SL Malinga
1701,Delhi Daredevils,2013/04/09,UBT Chand,DA Warner,DPMD Jayawardene,MC Juneja,BMAJ Mendis,IK Pathan,KM Jadhav,S Nadeem,M Morkel,A Nehra,UT Yadav
1702,Kings XI Punjab,2019/04/20,KL Rahul,CH Gayle,MA Agarwal,DA Miller,Mandeep Singh,SM Curran,R Ashwin,Harpreet Brar,GC Viljoen,M Ashwin,Mohammed Shami
1703,Delhi Capitals,2019/04/20,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,AR Patel,SE Rutherford,A Mishra,K Rabada,I Sharma,S Lamichhane
1704,Kings XI Punjab,2020/10/04,KL Rahul,MA Agarwal,Mandeep Singh,N Pooran,GJ Maxwell,SN Khan,CJ Jordan,Harpreet Brar,Ravi Bishnoi,Mohammed Shami,SS Cottrell
1705,Chennai Super Kings,2020/10/04,SR Watson,F du Plessis,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,SM Curran,DJ Bravo,PP Chawla,SN Thakur,DL Chahar
1706,Kings XI Punjab,2014/05/11,V Sehwag,Mandeep Singh,WP Saha,GJ Maxwell,DA Miller,GJ Bailey,R Dhawan,MG Johnson,AR Patel,P Awana,Sandeep Sharma
1707,Kolkata Knight Riders,2014/05/11,RV Uthappa,G Gambhir,MK Pandey,JH Kallis,RN ten Doeschate,YK Pathan,SA Yadav,PP Chawla,M Morkel,UT Yadav,SP Narine
1708,Chennai Super Kings,2020/10/19,SM Curran,F du Plessis,SR Watson,AT Rayudu,MS Dhoni,RA Jadeja,KM Jadhav,PP Chawla,DL Chahar,SN Thakur,JR Hazlewood
1709,Rajasthan Royals,2020/10/19,BA Stokes,RV Uthappa,SV Samson,SPD Smith,JC Buttler,R Tewatia,R Parag,JC Archer,S Gopal,AS Rajpoot,Kartik Tyagi
1710,Kolkata Knight Riders,2014/05/24,RV Uthappa,G Gambhir,MK Pandey,YK Pathan,RN ten Doeschate,Shakib Al Hasan,SA Yadav,R Vinay Kumar,M Morkel,UT Yadav,SP Narine
1711,Sunrisers Hyderabad,2014/05/24,DA Warner,S Dhawan,NV Ojha,Y Venugopal Rao,DJG Sammy,S Anirudha,JO Holder,KV Sharma,Parvez Rasool,DW Steyn,B Kumar
1712,Delhi Daredevils,2008/05/24,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,KD Karthik,MF Maharoof,B Geeves,VY Mahesh,A Mishra,GD McGrath
1713,Mumbai Indians,2008/05/24,ST Jayasuriya,SR Tendulkar,DR Smith,RV Uthappa,AM Nayar,SM Pollock,SD Chitnis,PR Shah,A Nel,DS Kulkarni,A Nehra
1714,Kings XI Punjab,2012/05/05,SE Marsh,Mandeep Singh,N Saini,DJ Hussey,Azhar Mahmood,Gurkeerat Singh,AM Nayar,PP Chawla,RJ Harris,P Kumar,P Awana
1715,Rajasthan Royals,2012/05/05,R Dravid,AM Rahane,SR Watson,AL Menaria,BJ Hodge,J Botha,STR Binny,AA Chavan,DH Yagnik,SW Tait,SK Trivedi
1716,Mumbai Indians,2020/10/18,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,HH Pandya,KA Pollard,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
1717,Kings XI Punjab,2020/10/18,KL Rahul,MA Agarwal,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
1718,Sunrisers Hyderabad,2016/04/16,DA Warner,S Dhawan,MC Henriques,EJG Morgan,DJ Hooda,NV Ojha,A Ashish Reddy,KV Sharma,B Kumar,Mustafizur Rahman,BB Sran
1719,Kolkata Knight Riders,2016/04/16,RV Uthappa,G Gambhir,AD Russell,MK Pandey,Shakib Al Hasan,YK Pathan,SA Yadav,PP Chawla,SP Narine,M Morkel,UT Yadav
1720,Royal Challengers Bangalore,2008/04/26,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,P Kumar,SB Joshi,Z Khan,R Vinay Kumar,A Kumble
1721,Rajasthan Royals,2008/04/26,GC Smith,M Rawat,YK Pathan,SR Watson,M Kaif,RA Jadeja,D Salunkhe,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
1722,Kings XI Punjab,2008/04/27,K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,TM Srivastava,IK Pathan,B Lee,PP Chawla,S Sreesanth,VRV Singh
1723,Delhi Daredevils,2008/04/27,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,MK Tiwary,KD Karthik,R Bhatia,MF Maharoof,VY Mahesh,Mohammad Asif,GD McGrath
1724,Kolkata Knight Riders,2015/05/09,RV Uthappa,G Gambhir,MK Pandey,SA Yadav,YK Pathan,AD Russell,J Botha,PP Chawla,GB Hogg,UT Yadav,SP Narine
1725,Kings XI Punjab,2015/05/09,M Vijay,M Vohra,WP Saha,GJ Maxwell,DA Miller,Gurkeerat Singh,GJ Bailey,AR Patel,BE Hendricks,Anureet Singh,Sandeep Sharma
1726,Kolkata Knight Riders,2019/05/05,Shubman Gill,CA Lynn,RV Uthappa,KD Karthik,AD Russell,N Rana,RK Singh,SP Narine,HF Gurney,M Prasidh Krishna,S Sandeep Warrier
1727,Mumbai Indians,2019/05/05,Q de Kock,RG Sharma,SA Yadav,Ishan Kishan,HH Pandya,KA Pollard,KH Pandya,RD Chahar,MJ McClenaghan,SL Malinga,JJ Bumrah
1728,Chennai Super Kings,2018/04/28,SR Watson,AT Rayudu,SK Raina,MS Dhoni,DJ Bravo,SW Billings,RA Jadeja,Harbhajan Singh,DL Chahar,SN Thakur,Imran Tahir
1729,Mumbai Indians,2018/04/28,SA Yadav,E Lewis,RG Sharma,HH Pandya,Ishan Kishan,JP Duminy,KH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
1730,Royal Challengers Bangalore,2018/05/17,PA Patel,V Kohli,AB de Villiers,MM Ali,C de Grandhomme,Mandeep Singh,SN Khan,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
1731,Sunrisers Hyderabad,2018/05/17,S Dhawan,AD Hales,KS Williamson,MK Pandey,DJ Hooda,Shakib Al Hasan,SP Goswami,Rashid Khan,S Kaul,Sandeep Sharma,Basil Thampi
1732,Deccan Chargers,2009/05/17,AC Gilchrist,HH Gibbs,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,DB Ravi Teja,RJ Harris,RP Singh,Jaskaran Singh,PP Ojha
1733,Kings XI Punjab,2009/05/17,S Sohal,SM Katich,LA Pomersbach,Yuvraj Singh,KC Sangakkara,WA Mota,IK Pathan,B Lee,PP Chawla,RR Powar,S Sreesanth
1734,Chennai Super Kings,2015/05/04,DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,P Negi,DJ Bravo,MM Sharma,A Nehra,IC Pandey
1735,Royal Challengers Bangalore,2015/05/04,NJ Maddinson,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik,SN Khan,D Wiese,HV Patel,MA Starc,Iqbal Abdulla,YS Chahal
1736,Kolkata Knight Riders,2011/04/20,MS Bisla,JH Kallis,G Gambhir,MK Tiwary,EJG Morgan,Shakib Al Hasan,YK Pathan,R Bhatia,B Lee,Iqbal Abdulla,L Balaji
1737,Kochi Tuskers Kerala,2011/04/20,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,RA Jadeja,KM Jadhav,RV Gomez,R Vinay Kumar,RR Powar,RP Singh,M Muralitharan
1738,Mumbai Indians,2020/09/23,Q de Kock,RG Sharma,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
1739,Kolkata Knight Riders,2020/09/23,Shubman Gill,SP Narine,KD Karthik,N Rana,EJG Morgan,AD Russell,NS Naik,PJ Cummins,Shivam Mavi,Kuldeep Yadav,S Sandeep Warrier
1740,Royal Challengers Bangalore,2018/05/05,PA Patel,BB McCullum,V Kohli,AB de Villiers,Mandeep Singh,C de Grandhomme,M Ashwin,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
1741,Chennai Super Kings,2018/05/05,SR Watson,AT Rayudu,SK Raina,DR Shorey,MS Dhoni,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,L Ngidi,SN Thakur
1742,Rajasthan Royals,2019/05/04,AM Rahane,LS Livingstone,SV Samson,MK Lomror,S Gopal,R Parag,STR Binny,K Gowtham,IS Sodhi,VR Aaron,O Thomas
1743,Delhi Capitals,2019/05/04,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,SE Rutherford,AR Patel,KMA Paul,A Mishra,TA Boult,I Sharma
